MANUAL.ID,template,eucledian.distance
FALSE,CriniaSignifera_01,17.34140731
FALSE,CriniaSignifera_01,16.87934296
FALSE,CriniaSignifera_01,17.2559402
TRUE,CriniaSignifera_01,17.10040335
FALSE,CriniaSignifera_01,16.76264426
FALSE,CriniaSignifera_01,17.07220445
TRUE,CriniaSignifera_01,16.55560514
FALSE,CriniaSignifera_01,17.19482059
TRUE,CriniaSignifera_01,15.20080931
FALSE,CriniaSignifera_01,17.15838181
FALSE,CriniaSignifera_01,17.13814226
TRUE,CriniaSignifera_01,17.06399579
FALSE,CriniaSignifera_01,16.96129978
FALSE,CriniaSignifera_01,17.27713325
FALSE,CriniaSignifera_01,17.05635822
FALSE,CriniaSignifera_01,16.80654057
FALSE,CriniaSignifera_01,17.28673524
FALSE,CriniaSignifera_01,17.33334231
FALSE,CriniaSignifera_01,17.06325557
FALSE,CriniaSignifera_01,17.34004324
FALSE,CriniaSignifera_01,17.31394986
FALSE,CriniaSignifera_01,17.16045418
FALSE,CriniaSignifera_01,17.02086472
FALSE,CriniaSignifera_01,17.06973737
FALSE,CriniaSignifera_01,17.20324879
FALSE,CriniaSignifera_01,17.26848992
FALSE,CriniaSignifera_01,16.85776122
FALSE,CriniaSignifera_01,16.51798998
FALSE,CriniaSignifera_01,16.97505755
FALSE,CriniaSignifera_01,16.69251174
FALSE,CriniaSignifera_01,16.83239063
FALSE,CriniaSignifera_01,16.57332711
FALSE,CriniaSignifera_01,17.00098091
FALSE,CriniaSignifera_01,17.16489888
TRUE,CriniaSignifera_01,16.79724417
FALSE,CriniaSignifera_01,17.01523892
FALSE,CriniaSignifera_01,17.00876747
FALSE,CriniaSignifera_01,17.25575573
FALSE,CriniaSignifera_01,17.22612587
FALSE,CriniaSignifera_01,17.06727672
FALSE,CriniaSignifera_01,17.09908242
FALSE,CriniaSignifera_01,17.11128111
FALSE,CriniaSignifera_01,17.17915314
FALSE,CriniaSignifera_01,17.26407822
FALSE,CriniaSignifera_01,17.1791885
FALSE,CriniaSignifera_01,17.314492
FALSE,CriniaSignifera_01,17.07861261
FALSE,CriniaSignifera_01,17.08910632
FALSE,CriniaSignifera_01,16.73721711
FALSE,CriniaSignifera_01,17.12974845
TRUE,CriniaSignifera_01,15.19046956
FALSE,CriniaSignifera_01,17.07225788
FALSE,CriniaSignifera_01,17.00776037
FALSE,CriniaSignifera_01,17.29540125
FALSE,CriniaSignifera_01,17.09301384
FALSE,CriniaSignifera_01,17.23557948
FALSE,CriniaSignifera_01,16.78791668
FALSE,CriniaSignifera_01,17.24764324
FALSE,CriniaSignifera_01,17.31302197
FALSE,CriniaSignifera_01,17.31763469
FALSE,CriniaSignifera_01,17.09704149
FALSE,CriniaSignifera_01,17.13147017
FALSE,CriniaSignifera_01,17.22829876
FALSE,CriniaSignifera_01,17.43882117
TRUE,CriniaSignifera_01,16.63885157
TRUE,CriniaSignifera_01,15.65157142
FALSE,CriniaSignifera_01,17.02340347
FALSE,CriniaSignifera_01,17.29520076
FALSE,CriniaSignifera_01,16.54665979
FALSE,CriniaSignifera_01,17.08522334
FALSE,CriniaSignifera_01,17.09932627
FALSE,CriniaSignifera_01,16.88222961
FALSE,CriniaSignifera_01,16.83883871
FALSE,CriniaSignifera_01,16.87103668
FALSE,CriniaSignifera_01,17.00327547
FALSE,CriniaSignifera_01,16.840066
FALSE,CriniaSignifera_01,16.77547963
FALSE,CriniaSignifera_01,16.94864192
FALSE,CriniaSignifera_01,17.09256024
FALSE,CriniaSignifera_01,17.04503635
FALSE,CriniaSignifera_01,16.81763003
FALSE,CriniaSignifera_01,16.92631068
FALSE,CriniaSignifera_01,16.93408749
TRUE,CriniaSignifera_01,16.33887094
TRUE,CriniaSignifera_01,15.66510739
TRUE,CriniaSignifera_01,16.20490373
TRUE,CriniaSignifera_01,14.94683709
TRUE,CriniaSignifera_01,16.58276203
FALSE,CriniaSignifera_01,16.24756636
TRUE,CriniaSignifera_01,16.17090921
TRUE,CriniaSignifera_01,16.26953695
TRUE,CriniaSignifera_01,15.85026196
TRUE,CriniaSignifera_01,14.79171482
TRUE,CriniaSignifera_01,15.61464387
TRUE,CriniaSignifera_01,16.7538234
FALSE,CriniaSignifera_01,17.03625824
FALSE,CriniaSignifera_01,16.71882769
FALSE,CriniaSignifera_01,17.07439368
FALSE,CriniaSignifera_01,16.9533525
FALSE,CriniaSignifera_01,17.15929082
FALSE,CriniaSignifera_01,17.1746748
FALSE,CriniaSignifera_01,17.17088363
FALSE,CriniaSignifera_01,17.05606098
FALSE,CriniaSignifera_01,17.10262316
FALSE,CriniaSignifera_01,16.82427085
TRUE,CriniaSignifera_01,16.9853915
FALSE,CriniaSignifera_01,16.63161178
TRUE,CriniaSignifera_01,16.42543475
TRUE,CriniaSignifera_01,16.9429749
FALSE,CriniaSignifera_01,16.07241093
FALSE,CriniaSignifera_01,17.16837611
FALSE,CriniaSignifera_01,17.26519079
FALSE,CriniaSignifera_01,17.28380555
FALSE,CriniaSignifera_01,16.96614054
FALSE,CriniaSignifera_01,16.34674274
FALSE,CriniaSignifera_01,17.18555953
FALSE,CriniaSignifera_01,17.18038451
FALSE,CriniaSignifera_01,17.00228389
TRUE,CriniaSignifera_01,17.06807624
FALSE,CriniaSignifera_01,17.31993879
FALSE,CriniaSignifera_01,17.27990393
FALSE,CriniaSignifera_01,17.1038814
FALSE,CriniaSignifera_01,17.23735782
FALSE,CriniaSignifera_01,17.21857755
FALSE,CriniaSignifera_01,17.05296836
TRUE,CriniaSignifera_01,15.58752061
TRUE,CriniaSignifera_01,15.18171225
FALSE,CriniaSignifera_01,17.20545292
TRUE,CriniaSignifera_01,15.08977766
TRUE,CriniaSignifera_01,17.01571431
FALSE,CriniaSignifera_01,17.3390358
FALSE,CriniaSignifera_01,16.60919844
FALSE,CriniaSignifera_01,17.33618585
FALSE,CriniaSignifera_01,16.8065739
TRUE,CriniaSignifera_01,17.04060878
FALSE,CriniaSignifera_01,17.12594429
TRUE,CriniaSignifera_01,16.6233486
TRUE,CriniaSignifera_01,16.23215137
TRUE,CriniaSignifera_01,14.5576841
FALSE,CriniaSignifera_01,16.75885954
TRUE,CriniaSignifera_01,17.05107692
FALSE,CriniaSignifera_01,17.21232483
FALSE,CriniaSignifera_01,16.83781524
TRUE,CriniaSignifera_01,16.92767497
FALSE,CriniaSignifera_01,17.31718772
FALSE,CriniaSignifera_01,17.21159125
FALSE,CriniaSignifera_01,17.39818986
FALSE,CriniaSignifera_01,16.34294338
TRUE,CriniaSignifera_01,16.4789561
TRUE,CriniaSignifera_01,16.95195938
FALSE,CriniaSignifera_01,16.86848827
TRUE,CriniaSignifera_01,15.49966212
FALSE,CriniaSignifera_01,16.85516836
FALSE,CriniaSignifera_01,16.78157942
TRUE,CriniaSignifera_01,16.37521972
TRUE,CriniaSignifera_01,16.17034869
FALSE,CriniaSignifera_01,16.97381615
FALSE,CriniaSignifera_01,16.83613437
TRUE,CriniaSignifera_01,16.28430007
TRUE,CriniaSignifera_01,16.92711575
FALSE,CriniaSignifera_01,17.0264213
FALSE,CriniaSignifera_01,17.07968112
TRUE,CriniaSignifera_01,15.84930969
FALSE,CriniaSignifera_01,16.38527989
TRUE,CriniaSignifera_01,16.55421463
TRUE,CriniaSignifera_01,16.63235289
FALSE,CriniaSignifera_01,16.58494673
FALSE,CriniaSignifera_01,16.86846838
FALSE,CriniaSignifera_01,16.49492616
TRUE,CriniaSignifera_01,16.39757833
TRUE,CriniaSignifera_01,16.70692527
FALSE,CriniaSignifera_01,16.53258752
TRUE,CriniaSignifera_01,16.57025314
TRUE,CriniaSignifera_01,16.21857346
TRUE,CriniaSignifera_01,16.08932787
TRUE,CriniaSignifera_01,15.86278907
TRUE,CriniaSignifera_01,15.91316072
FALSE,CriniaSignifera_01,15.07984116
TRUE,CriniaSignifera_01,15.80387074
TRUE,CriniaSignifera_01,15.85266575
TRUE,CriniaSignifera_01,16.43325513
TRUE,CriniaSignifera_01,16.06726656
TRUE,CriniaSignifera_01,15.53872916
TRUE,CriniaSignifera_01,15.70240511
TRUE,CriniaSignifera_01,15.86826314
TRUE,CriniaSignifera_01,15.61031644
TRUE,CriniaSignifera_01,16.19951956
TRUE,CriniaSignifera_01,15.99679071
TRUE,CriniaSignifera_01,16.45750249
TRUE,CriniaSignifera_01,16.02260531
TRUE,CriniaSignifera_01,16.53474939
TRUE,CriniaSignifera_01,16.46217855
TRUE,CriniaSignifera_01,15.87501334
TRUE,CriniaSignifera_01,16.00224043
TRUE,CriniaSignifera_01,15.91811209
TRUE,CriniaSignifera_01,16.34574178
TRUE,CriniaSignifera_01,16.46849975
TRUE,CriniaSignifera_01,16.36011953
TRUE,CriniaSignifera_01,15.63661025
TRUE,CriniaSignifera_01,15.46450841
FALSE,CriniaSignifera_01,16.1106644
TRUE,CriniaSignifera_01,16.18931246
TRUE,CriniaSignifera_01,15.21686438
FALSE,CriniaSignifera_01,17.13076163
TRUE,CriniaSignifera_01,16.31548218
TRUE,CriniaSignifera_01,15.79053095
FALSE,CriniaSignifera_01,16.7877159
TRUE,CriniaSignifera_01,15.73388737
TRUE,CriniaSignifera_01,15.62037858
TRUE,CriniaSignifera_01,16.20837835
FALSE,CriniaSignifera_01,16.6960201
TRUE,CriniaSignifera_01,15.47423737
TRUE,CriniaSignifera_01,16.82047672
TRUE,CriniaSignifera_01,15.6289622
TRUE,CriniaSignifera_01,15.21988752
FALSE,CriniaSignifera_01,16.90944348
FALSE,CriniaSignifera_01,17.49212008
TRUE,CriniaSignifera_01,16.34749581
FALSE,CriniaSignifera_01,17.21365009
TRUE,CriniaSignifera_01,15.28171805
FALSE,CriniaSignifera_01,16.78206683
TRUE,CriniaSignifera_01,15.80251971
FALSE,CriniaSignifera_01,15.9819177
FALSE,CriniaSignifera_01,16.52839461
TRUE,CriniaSignifera_01,16.22851263
FALSE,CriniaSignifera_01,16.52149874
TRUE,CriniaSignifera_01,15.41039715
FALSE,CriniaSignifera_01,16.32035395
TRUE,CriniaSignifera_01,16.84491869
TRUE,CriniaSignifera_01,15.27361621
TRUE,CriniaSignifera_01,16.40463795
TRUE,CriniaSignifera_01,15.51128776
TRUE,CriniaSignifera_01,16.10288564
TRUE,CriniaSignifera_01,15.81308899
TRUE,CriniaSignifera_01,15.76686207
TRUE,CriniaSignifera_01,16.75287579
FALSE,CriniaSignifera_01,17.087173
TRUE,CriniaSignifera_01,14.58697273
TRUE,CriniaSignifera_01,15.20203964
TRUE,CriniaSignifera_01,14.78780569
TRUE,CriniaSignifera_01,16.57563672
TRUE,CriniaSignifera_01,16.07676075
TRUE,CriniaSignifera_01,15.55988948
TRUE,CriniaSignifera_01,15.41035312
TRUE,CriniaSignifera_01,16.04835043
TRUE,CriniaSignifera_01,15.22961159
TRUE,CriniaSignifera_01,15.62990292
TRUE,CriniaSignifera_01,15.51258096
FALSE,CriniaSignifera_01,16.48243568
TRUE,CriniaSignifera_01,15.22451502
TRUE,CriniaSignifera_01,15.26658124
TRUE,CriniaSignifera_01,15.1672139
TRUE,CriniaSignifera_01,15.85478148
TRUE,CriniaSignifera_01,15.07472988
FALSE,CriniaSignifera_01,16.93162904
TRUE,CriniaSignifera_01,16.7163735
TRUE,CriniaSignifera_01,15.96701777
TRUE,CriniaSignifera_01,15.57766018
TRUE,CriniaSignifera_01,15.50094263
TRUE,CriniaSignifera_01,15.43710254
TRUE,CriniaSignifera_01,15.3815917
TRUE,CriniaSignifera_01,15.72468439
FALSE,CriniaSignifera_01,16.93479504
TRUE,CriniaSignifera_01,15.469677
TRUE,CriniaSignifera_01,16.14863395
TRUE,CriniaSignifera_01,15.891646
TRUE,CriniaSignifera_01,15.69045639
TRUE,CriniaSignifera_01,16.7424063
TRUE,CriniaSignifera_01,15.86302244
TRUE,CriniaSignifera_01,15.1800272
TRUE,CriniaSignifera_01,15.63131983
FALSE,CriniaSignifera_01,16.07689028
TRUE,CriniaSignifera_01,16.61070609
TRUE,CriniaSignifera_01,16.8048263
TRUE,CriniaSignifera_01,16.67717105
TRUE,CriniaSignifera_01,16.65020131
TRUE,CriniaSignifera_01,16.23321525
FALSE,CriniaSignifera_01,16.7784068
TRUE,CriniaSignifera_01,16.3815325
TRUE,CriniaSignifera_01,16.10238739
FALSE,CriniaSignifera_01,16.91676447
TRUE,CriniaSignifera_01,15.95673669
TRUE,CriniaSignifera_01,16.04765523
TRUE,CriniaSignifera_01,16.09471023
TRUE,CriniaSignifera_01,16.01927992
TRUE,CriniaSignifera_01,16.52890685
FALSE,CriniaSignifera_01,16.55962675
FALSE,CriniaSignifera_01,17.04925147
TRUE,CriniaSignifera_01,15.25236666
TRUE,CriniaSignifera_01,14.977428
TRUE,CriniaSignifera_01,15.50191753
TRUE,CriniaSignifera_01,16.27560281
TRUE,CriniaSignifera_01,16.62031736
TRUE,CriniaSignifera_01,16.26073372
TRUE,CriniaSignifera_01,16.26527216
TRUE,CriniaSignifera_01,16.52557678
TRUE,CriniaSignifera_01,16.16239065
TRUE,CriniaSignifera_01,16.69205667
FALSE,CriniaSignifera_01,16.96370175
TRUE,CriniaSignifera_01,15.75181315
TRUE,CriniaSignifera_01,15.4535494
TRUE,CriniaSignifera_01,15.61551734
TRUE,CriniaSignifera_01,16.21035749
TRUE,CriniaSignifera_01,16.58975878
TRUE,CriniaSignifera_01,16.83344851
FALSE,CriniaSignifera_01,17.09006326
FALSE,CriniaSignifera_01,16.86453232
TRUE,CriniaSignifera_01,16.94545659
TRUE,CriniaSignifera_01,16.82256223
FALSE,CriniaSignifera_01,17.14175725
TRUE,CriniaSignifera_01,16.92076822
FALSE,CriniaSignifera_01,17.07221353
FALSE,CriniaSignifera_01,16.94123218
FALSE,CriniaSignifera_01,17.27740147
FALSE,CriniaSignifera_01,17.20133382
FALSE,CriniaSignifera_01,17.24121908
