trip,date,item,category,method,cost,cost_per_item,number_of_items,notes
Trip2,5/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,6/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,7/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,8/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,9/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,10/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,11/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,12/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,13/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,14/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,15/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,16/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,17/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,18/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,19/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,20/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
